Binance,https://www.binance.com/
UpBit,https://upbit.com/
Huobi,https://www.huobi.pro
BitTrex,https://bittrex.com
Bithumb,https://www.bithumb.com/
OKEX,https://www.okex.com
bitsblockchain,https://bitsblockchain.com/
Bitfinex,https://www.bitfinex.com
BitZ,https://www.bit-z.com
gdax,https://www.gdax.com/
wex,https://wex.nz/
Kraken,https://www.kraken.com
Poloniex,https://poloniex.com
HitBTC,https://hitbtc.com
Kucoin,https://www.kucoin.com
bitstamp,https://www.bitstamp.net
bitflyer,https://bitflyer.jp/
exchange.btcc,https://exchange.btcc.com/
Gemini,https://gemini.com/
itbit,https://www.itbit.com
bitmex,https://www.bitmex.com/
Coinone,https://coinone.co.kr/
Exmo,https://exmo.com/
